newid,Species,EEZ,timestay (1/30days),timestay^2 (1/30days)
172,1,25,0.6716417910447761,0.4511026954778346
172,1,40,8.507462686567164,72.3769213633326
172,1,114,0.0,0.0
172,1,149,4.701492537313433,22.1040320784139
172,1,231,0.22388059701492538,0.050122521719759415
172,1,247,14.328358208955224,205.30184896413456
173,1,0,4.666666666666667,21.777777777777782
173,1,40,24.666666666666668,608.4444444444445
173,1,149,0.6666666666666667,0.44444444444444453
174,1,0,5.10989010989011,26.110976935152763
174,1,40,11.20879120879121,125.63700036227512
174,1,149,11.53846153846154,133.13609467455626
174,1,231,0.3296703296703297,0.10868252626494387
174,1,247,1.8131868131868134,3.287646419514552
175,1,0,1.6304347826086958,2.658317580340265
175,1,40,10.108695652173914,102.18572778827979
175,1,119,0.32608695652173914,0.10633270321361059
175,1,149,4.239130434782608,17.970226843100185
175,1,231,0.16304347826086957,0.026583175803402647
175,1,247,13.532608695652174,183.13149810964083
176,1,0,0.46875,0.2197265625
176,1,40,15.703125,246.588134765625
176,1,61,0.46875,0.2197265625
176,1,149,3.28125,10.7666015625
176,1,231,1.875,3.515625
176,1,247,8.203125,67.291259765625
177,1,40,18.157894736842106,329.7091412742383
177,1,94,0.19736842105263158,0.03895429362880887
177,1,149,1.381578947368421,1.9087603878116342
177,1,231,0.19736842105263158,0.03895429362880887
177,1,247,10.06578947368421,101.32011772853186
178,1,0,1.4705882352941178,2.1626297577854676
178,1,40,15.882352941176471,252.2491349480969
178,1,50,0.0,0.0
178,1,61,0.29411764705882354,0.08650519031141869
178,1,149,0.0,0.0
178,1,231,0.5882352941176471,0.34602076124567477
178,1,247,11.764705882352942,138.40830449826993
179,2,193,29.999999999999996,899.9999999999998
180,2,193,30.0,900.0
181,2,0,8.284739619420202,68.6369105615908
181,2,193,21.715260380579796,471.5525333963786
182,2,193,30.0,900.0
183,2,193,30.0,900.0
184,2,193,30.0,900.0
185,2,0,11.168622785145052,124.73813491686123
185,2,193,18.83137721485495,354.6207678081582
186,2,0,6.789428555617862,46.09634011183925
186,2,193,23.210571444382136,538.7306267747674
187,2,0,13.707863972360999,187.90553468475267
187,2,193,16.292136027639,265.43369634309266
188,2,193,30.0,900.0
189,2,193,29.999999999999996,899.9999999999998
190,2,0,13.554565453038666,183.7262446207093
190,2,193,16.44543454696133,270.45231743838923
191,2,193,30.0,900.0
192,2,193,30.0,900.0
193,2,0,10.197422459076689,103.98742480888167
193,2,193,19.80257754092331,392.14207726428026
194,2,193,30.0,900.0
195,2,193,30.0,900.0
196,2,193,30.0,900.0
197,2,0,11.536547650551887,133.09193169345426
197,2,193,18.463452349448115,340.8990726603411
198,2,193,30.000000000000004,900.0000000000002
199,2,193,30.000000000000004,900.0000000000002
200,2,193,30.000000000000004,900.0000000000002
201,2,193,30.0,900.0
202,2,193,30.0,900.0
203,2,193,30.0,900.0
204,2,193,30.0,900.0
205,2,193,30.0,900.0
206,2,193,30.0,900.0
207,2,193,30.0,900.0
208,2,0,13.291672107750715,176.66854741995834
208,2,193,16.708327892249283,279.16822095491534
209,2,193,30.0,900.0
210,2,0,2.055160017451766,4.223682697332344
210,2,193,27.94483998254823,780.9140816502262
211,2,193,30.0,900.0
212,3,0,7.724622527823206,59.66979319735377
212,3,65,0.06424115687298591,0.0041269262363795856
212,3,83,4.581413482665712,20.98934949915117
212,3,90,0.1846600978231642,0.03409935172806057
212,3,94,1.3406464875565915,1.7973330045978262
212,3,106,3.2773623024028944,10.741103661211602
212,3,111,7.46322747571978,55.69976435433864
212,3,113,0.06016516622882577,0.003619847227342237
212,3,173,0.4521691358932942,0.20445692745448837
212,3,185,0.0,0.0
212,3,214,0.8897178705614567,0.7915978891964129
212,3,246,3.9617742964520897,15.69565557602845
213,3,0,10.761801877069319,115.81637964129271
213,3,80,0.8099099129929769,0.6559540671642914
213,3,83,0.663993617553115,0.4408875241512724
213,3,94,0.3757562891424,0.14119278883006692
213,3,106,2.480731105185629,6.154026816235513
213,3,111,8.280351719389781,68.56422459680131
213,3,115,0.033230497413278125,0.0011042659583338841
213,3,156,0.42953114353412586,0.18449700326573384
213,3,185,0.8121697922631622,0.6596197714647881
213,3,214,2.838511081968457,8.05714516245774
213,3,246,2.5140129634877546,6.320261180584482
214,3,0,21.949033737310554,481.7600820015969
214,3,40,4.721257779233676,22.290275017974505
214,3,94,3.2136914510286583,10.327812742414682
214,3,106,0.05024566000698107,0.0025246263495371374
214,3,111,0.0,0.0
214,3,214,0.0657713724201316,0.004325873430027648
215,3,0,19.97211126989733,398.8852285771599
215,3,40,4.271191674154447,18.243078317366265
215,3,83,0.053619992795824696,0.002875103627424292
215,3,94,2.9828867309835805,8.897613249877912
215,3,106,0.0402595294747506,0.0016208297135283125
215,3,111,0.0,0.0
215,3,156,0.038062475505456064,0.001448752041603443
215,3,185,1.2354568882558423,1.5263537227388089
215,3,214,1.4064114389327698,1.977993135560944
216,3,0,23.31798150966468,543.7282616850639
216,3,83,0.16309656315988014,0.02660048891456477
216,3,94,1.7088226608828399,2.920074886346709
216,3,106,0.4498784726163751,0.20239064012364255
216,3,111,2.0224087408846723,4.090137115206725
216,3,156,0.6433000931345023,0.41383500982685933
216,3,185,0.6232537537199291,0.38844524152598203
216,3,214,1.0278150057917426,1.0564036861306798
216,3,246,0.04344320014537982,0.0018873116388715293
217,3,0,4.860267978185648,23.62220481977681
217,3,80,1.5880983942419489,2.5220565097938565
217,3,83,0.16313680595217647,0.02661361745627808
217,3,94,4.426159129936922,19.590884643523967
217,3,106,3.499928448768395,12.249499146498344
217,3,111,9.892767300337997,97.86684485863674
217,3,115,0.1180030428095927,0.013924718112322567
217,3,156,0.4748930497385463,0.2255234086899774
217,3,185,0.9695003464589959,0.939930921784113
217,3,214,0.8681047208756121,0.7536058064065243
217,3,246,3.139140782694165,9.854204853573734
218,3,0,21.960581215537474,482.2671273242173
218,3,94,4.623847489277391,21.379965604096828
218,3,106,0.27605549557954817,0.07620663663966994
218,3,111,0.0,0.0
218,3,156,0.15695664225460204,0.024635387547839126
218,3,185,1.6091201528887986,2.5892676664328707
218,3,214,0.898247162487825,0.806847964917429
218,3,258,0.47519184197436126,0.22580728667898634
219,3,0,6.828146324818648,46.62358223313441
219,3,80,0.4810879313709562,0.23144559771078585
219,3,83,6.699222558001673,44.87958288163848
219,3,94,0.39798206278100284,0.1583897222954221
219,3,106,0.9590685318770048,0.9198124488367134
219,3,111,4.279647592120956,18.315383512746692
219,3,115,0.2178787287992821,0.04747114046319112
219,3,156,0.43185806200174637,0.18650138571590422
219,3,185,0.6179323454859675,0.38184038359778916
219,3,214,1.4124951257538407,1.9951424802783584
219,3,246,7.674680736988923,58.90072441470883
220,3,0,6.4502242560688705,41.60539295357921
220,3,80,1.1797339738327903,1.3917722490153068
220,3,83,0.2496752576056114,0.062337734260428414
220,3,94,3.1136931000563703,9.69508472133865
220,3,106,3.865239784183156,14.94007858923225
220,3,111,8.833903456093058,78.03785027157288
220,3,115,0.07457695957020478,0.005561722898735959
220,3,156,0.3793971520712422,0.1439421989997693
220,3,185,1.4359215856536678,2.0618708001461434
220,3,214,1.0478588009560486,1.0980080667410477
220,3,246,3.36977567390898,11.35538809246872
221,3,0,9.811215370864,96.25994705347802
221,3,22,0.0734472743525495,0.005394502109818675
221,3,65,0.13488605898005232,0.018194248907170155
221,3,80,1.277833631218857,1.6328587890739696
221,3,83,3.479296991359199,12.105507554081173
221,3,90,0.25990467679436846,0.06755044101958513
221,3,94,0.7336349419122344,0.5382202279945676
221,3,106,0.20935731307683242,0.043830484538750825
221,3,111,2.304606047064851,5.311209032167877
221,3,115,0.26753798033969806,0.07157657092424466
221,3,162,0.14335716413571653,0.02055127650903477
221,3,173,0.19660411081230045,0.03865317638829532
221,3,185,0.7284219541251088,0.5305985432514421
221,3,214,3.099493595476544,9.606860548400114
221,3,246,6.9445375335146435,48.226601554393646
221,3,258,0.33586535597304523,0.11280553734290039
222,3,0,23.27993658752337,541.9554475191093
222,3,94,0.7908125645186026,0.625384512200489
222,3,106,5.63265005161544,31.726746603963417
222,3,111,0.26421865014981744,0.06981149508699162
222,3,214,0.032382146192768864,0.001048603392049855
223,3,0,24.428087388853257,596.7314534774515
223,3,94,0.8002041505437705,0.6403266825474773
223,3,106,4.395854113866774,19.323533390399437
223,3,111,0.2550523378336191,0.06505169503439456
223,3,185,0.12080200890257785,0.014593125354898498
224,3,0,12.454924084659863,155.12513395464032
224,3,80,2.347885350800168,5.512565620502027
224,3,83,1.1423081291875146,1.3048678620078795
224,3,94,0.37149293854828125,0.13800700339123706
224,3,106,2.1291696641550164,4.533363458757985
224,3,111,6.331055242132418,40.08226047893237
224,3,185,0.24597705501577727,0.06050471159423472
224,3,214,1.309113626900197,1.7137784881357883
224,3,246,3.668073908600764,13.454766198957687
225,3,0,8.834488427791902,78.04818578078903
225,3,80,1.0747339030851393,1.1550529624406176
225,3,83,0.5064699462857815,0.25651180649072236
225,3,94,0.15831171960263707,0.025062600563543983
225,3,106,1.9561489292333367,3.8265186333407297
225,3,111,5.2004762107288265,27.044952818356453
225,3,115,0.05371543574612034,0.0028853480373955825
225,3,156,0.0,0.0
225,3,185,0.20416117465264427,0.04168178523554752
225,3,214,0.6131921708690912,0.3760046384151487
225,3,246,11.39830208200452,129.92129035262857
226,3,0,22.261194543063997,495.5607824841423
226,3,40,2.2612375246058365,5.113195142685531
226,3,94,3.0350342562945736,9.211432936881556
226,3,106,2.442533676035592,5.965970758567942
226,3,111,0.0,0.0
226,3,185,0.0,0.0
227,3,0,7.527951065384448,56.67004724282285
227,3,80,3.1960827999728276,10.21494526428215
227,3,94,1.2838653487780778,1.6483102337930553
227,3,106,2.1761727294809448,4.735727748536545
227,3,111,9.009600583325154,81.17290267105295
227,3,115,0.2516203516159167,0.06331280134731757
227,3,185,0.2628615409543592,0.06909618971290027
227,3,246,6.291845580488271,39.58732080870979
228,3,0,10.230000474390206,104.65290970602383
228,3,83,3.2426983348845067,10.515092491062752
228,3,94,0.2590766773675941,0.06712072475583244
228,3,106,5.089501731525959,25.903027875205737
228,3,111,3.004079760908902,9.024495209902486
228,3,185,0.5106224007337229,0.2607352361310707
228,3,214,3.616281092365094,13.077488938997279
228,3,246,4.047739527824015,16.384195285108976
229,3,0,16.683089100603926,278.3254619386895
229,3,80,0.16708548080784066,0.02791755789678729
229,3,94,1.5914484237184192,2.532708085355841
229,3,106,6.871943854308995,47.22361233677517
229,3,111,4.358204549602535,18.993946896176233
229,3,246,0.32822859095828333,0.10773400792246007
230,3,0,20.339080808699304,413.6782081428003
230,3,40,5.511869346124543,30.3807036887474
230,3,83,0.08602999210724244,0.007401159541972196
230,3,94,3.243883188631223,10.52277814148427
230,3,111,0.5218869528251124,0.27236599152908114
230,3,214,0.29724971161257563,0.08835739105375938
231,3,0,18.615839048172084,346.54946346744856
231,3,40,4.354932661320552,18.965438484636504
231,3,83,0.17530777493260463,0.03073281595182076
231,3,94,6.183983309923512,38.24164957741256
231,3,106,0.4008716847067235,0.16069810759960676
231,3,111,0.0,0.0
231,3,214,0.09072130876609273,0.008230355864232734
231,3,246,0.17834421217842894,0.03180665801754448
232,4,214,30.0,900.0
233,4,214,30.0,900.0
234,4,214,30.0,900.0
235,4,214,30.0,900.0
236,4,214,30.0,900.0
237,4,214,29.999999999999996,899.9999999999998
238,4,214,30.0,900.0
239,4,214,30.000000000000004,900.0000000000002
240,4,214,30.0,900.0
241,4,214,30.0,900.0
242,4,214,30.0,900.0
243,4,214,30.000000000000004,900.0000000000002
244,4,214,30.0,900.0
245,4,214,30.0,900.0
246,4,214,30.0,900.0
247,4,214,30.0,900.0
248,4,214,30.0,900.0
249,4,214,30.0,900.0
250,4,214,30.0,900.0
251,4,214,30.000000000000004,900.0000000000002
252,4,214,30.0,900.0
253,4,214,30.0,900.0
254,4,214,30.0,900.0
255,4,214,30.0,900.0
256,4,214,30.0,900.0
257,4,214,30.0,900.0
258,4,214,29.999999999999996,899.9999999999998
259,4,214,30.0,900.0
260,4,214,29.999999999999996,899.9999999999998
261,4,214,30.0,900.0
262,4,214,30.0,900.0
