Source,Target,Weight
Italy,Tunisia,0.027158098933074686
Italy,Croatia,0.011639185257032008
Italy,Albania,0.0072744907856450046
Italy,Greece,0.025703200775945685
Italy,Malta,0.027158098933074686
Tunisia,Algeria,0.017882947976878612
Tunisia,Italy,0.002167630057803468
Tunisia,Libya,0.009031791907514452
Libya,Tunisia,0.0033764772087788407
Libya,Egypt,0.0010129431626336523
Libya,Malta,0.0005627462014631402
Egypt,Israel,0.034220532319391636
Israel,Cyprus,0.125
Cyprus,Egypt,0.08333333333333333
Greece,Albania,0.004133107248834251
Greece,Italy,0.0030733361593895717
Greece,Malta,0.000105977108944468
Croatia,Italy,0.004147982062780269
Croatia,Bosnia & Herzegovina,0.002802690582959641
Albania,Greece,0.011324570273003034
Albania,Italy,0.0020222446916076846
Albania,Croatia,0.004448938321536906
Bosnia & Herzegovina,Croatia,1.0
Malta,Italy,0.05398457583547558
Malta,Libya,0.11568123393316196
Malta,Greece,0.033419023136246784
Malta,Tunisia,0.010282776349614395
Senegal,Mauritania,0.12135922330097088
Senegal,Cape Verde,0.014563106796116505
Senegal,The Gambia,0.009708737864077669
Mauritania,Senegal,0.030303030303030304
Mauritania,Cape Verde,0.04242424242424243
The Gambia,Cape Verde,1.0
Disputed Western Sahara/Mauritania,Cape Verde,0.2857142857142857
