EEZ;newid
Antarctica;5797
Antarctica;5798
Antarctica;5799
Antarctica;5802
Antarctica;5803
Antarctica;5804
Antarctica;5806
Antarctica;6043
Antarctica;6044
Antarctica;6045
Antarctica;6046
Antarctica;6047
Antarctica;6048
Antarctica;6049
Antarctica;6050
Antarctica;6051
Antarctica;6052
Antarctica;6053
Antarctica;6054
Antarctica;6055
Antarctica;6056
Antarctica;6057
Antarctica;6058
Antarctica;6059
Antarctica;6060
Antarctica;6061
Antarctica;6062
Antarctica;6063
Antarctica;6064
Antarctica;6065
Antarctica;6066
Antarctica;6067
Antarctica;6068
Antarctica;6069
Antarctica;6070
Antarctica;6071
Antarctica;6072
Antarctica;6073
Antarctica;6074
Antarctica;6075
Antarctica;6076
Antarctica;6077
Antarctica;6078
Antarctica;6079
Antarctica;6080
Antarctica;6081
Antarctica;6082
Antarctica;6083
Antarctica;6084
Antarctica;6085
Antarctica;6086
Antarctica;6087
Antarctica;6088
Antarctica;6089
Antarctica;6090
Antarctica;6091
Antarctica;6092
Antarctica;6093
Antarctica;6094
Antarctica;6095
Antarctica;6096
Antarctica;6097
Antarctica;6205
Antarctica;6225
Antarctica;6226
Antarctica;6233
Antarctica;6236
Antarctica;6237
Antarctica;6238
Antarctica;6808
Antarctica;6809
Antarctica;6810
Antarctica;6811
Antarctica;6812
Antarctica;6813
Antarctica;6814
Antarctica;6815
Antarctica;6816
Antarctica;6817
Antarctica;6818
Antarctica;6819
Antarctica;6820
Antarctica;6821
Antarctica;6822
Antarctica;6823
Antarctica;6824
Antarctica;6825
Antarctica;6826
Antarctica;6827
Antarctica;6828
Antarctica;6829
Antarctica;6830
Antarctica;6831
Antarctica;6832
Antarctica;6833
Antarctica;6834
Antarctica;6835
Antarctica;6836
Antarctica;6837
Antarctica;6838
Antarctica;6839
Antarctica;6840
Antarctica;6841
Antarctica;6842
Antarctica;6843
Antarctica;6844
Antarctica;6845
Antarctica;6846
Antarctica;6847
Antarctica;10619
Antarctica;10653
Antarctica;10661
Antarctica;11045
Antarctica;11046
Antarctica;11047
Antarctica;11048
Antarctica;11049
Antarctica;11050
Antarctica;11051
Antarctica;11052
Antarctica;11053
Antarctica;11054
Antarctica;11055
Antarctica;11056
Antarctica;11057
Antarctica;11058
Antarctica;11059
Antarctica;11060
Antarctica;11061
Antarctica;11062
Antarctica;11063
Antarctica;11064
Antarctica;11065
Antarctica;11066
Antarctica;11067
Antarctica;11068
Antarctica;11069
Antarctica;11070
Antarctica;11071
Antarctica;11072
Antarctica;11073
Antarctica;11074
Antarctica;11075
Antarctica;11076
Antarctica;11083
Antarctica;11098
Antarctica;11099
Antarctica;11100
Antarctica;11101
Antarctica;11105
Antarctica;11106
Antarctica;11108
Antarctica;11110
Antarctica;11112
Antarctica;11115
Antarctica;11126
Antarctica;11127
Antarctica;11128
Antarctica;11129
Antarctica;11133
Antarctica;11135
Antarctica;11139
Antarctica;11141
Antarctica;11155
Antarctica;11156
Antarctica;11157
Antarctica;11158
Antarctica;11159
Antarctica;11160
Antarctica;11161
Antarctica;11162
Antarctica;11163
Antarctica;11164
Antarctica;11165
Antarctica;11167
Antarctica;11169
Antarctica;11170
Antarctica;11171
Antarctica;11181
Antarctica;11183
Antarctica;11184
Antarctica;11188
Antarctica;11189
Antarctica;11193
Antarctica;11194
Antarctica;11196
Antarctica;11198
Antarctica;11200
Antarctica;11202
Antarctica;11204
Antarctica;11224
Antarctica;11228
Antarctica;11229
Antarctica;11233
Antarctica;11235
Antarctica;11238
Antarctica;11239
Antarctica;11240
Antarctica;11242
Antarctica;11243
Antarctica;11244
Antarctica;11245
Antarctica;11246
Antarctica;11247
Antarctica;11249
Antarctica;11251
Antarctica;11252
Antarctica;11253
Antarctica;11254
Antarctica;11255
Antarctica;11256
Antarctica;11258
Antarctica;11261
Antarctica;11264
Antarctica;11265
Antarctica;11266
Antarctica;11267
Antarctica;11268
Antarctica;11269
Antarctica;11270
Antarctica;11271
Antarctica;11272
Antarctica;11273
Antarctica;11274
Antarctica;11275
Antarctica;11276
Antarctica;11277
Antarctica;11278
