protected_number_mean,protected_number_var,prot_species
8412.02253720411,2415.9870615202026,93.0
8485.46875595291,2396.362496658618,93.0
8559.267797733479,2375.9250842582674,93.0
8633.426528009551,2354.6634475445553,93.0
8707.952040663633,2332.565681388179,93.0
8782.851667112804,2309.6193142757693,93.0
8858.132985825052,2285.8112669198385,93.0
8933.803832255393,2261.127807182842,93.0
9009.87230922223,2235.554500956474,93.0
9086.346797745358,2209.076158600012,94.0
9163.2359683684,2181.676776500021,94.0
9240.548792989513,2153.3394732675347,96.0
9318.29455722575,2124.0464200375363,96.0
9396.482873337807,2093.7787642783196,97.0
9475.123693743406,2062.5165464545225,97.0
9554.227325149248,2030.2386088164724,97.0
9633.80444333317,1996.9224955089696,97.0
9713.866108610071,1962.5443431036867,97.0
9794.423782016967,1927.07876055987,98.0
9875.489342254952,1890.4986975064303,98.0
9957.075103427795,1852.7752996133088,98.0
10039.193833619449,1813.8777496793114,98.0
10121.858774355414,1773.7730929053298,98.0
10205.08366099543,1732.426044643429,99.0
10288.882744108096,1689.7987787110471,99.0
10373.270811881071,1645.8506941319501,99.0
10458.263213623817,1600.5381579080647,99.0
10543.875884423644,1553.814221134122,99.0
10630.125371019301,1505.628305435263,100.0
10717.028858960883,1455.9258563299788,100.0
10804.6042011288,1404.6479596902075,100.0
10892.869947689585,1351.7309169783182,100.0
10981.845377571173,1297.1057743776557,100.0
11071.550531545665,1240.6978002873225,103.0
11162.0062470134,1182.4259049096331,104.0
11253.234194588313,1122.2019948037744,105.0
11345.256916591154,1059.9302542927649,105.0
11438.0978675641,995.5063444701962,106.0
11531.781456928087,928.8165092315929,106.0
11626.33309391195,859.7365762209788,106.0
11721.779234891468,788.1308387984188,106.0
11818.147433285385,713.8508030542722,106.0
11915.466392165614,636.7337814670809,106.0
12013.766019749302,556.6013119610112,106.0
12113.077487951927,473.257377789751,107.0
12213.433294192659,386.48639976659354,107.0
12314.867326656398,296.0509677674014,107.0
12417.414933230613,201.6892730260547,107.0
12521.112994350282,103.11219636758226,107.0
12626.0,0.0,111.0
